MAP DETAILS:
Number of Vertices: 15

EDGES:
Edge 1 - 2, Weight: 1.0
Edge 1 - 6, Weight: 2.0
Edge 1 - 8, Weight: 3.0
Edge 1 - 9, Weight: 6.0
Edge 1 - 10, Weight: 2.0
Edge 1 - 11, Weight: 14.0
Edge 1 - 14, Weight: 5.0
Edge 2 - 5, Weight: 7.0
Edge 2 - 6, Weight: 8.0
Edge 2 - 7, Weight: 8.0
Edge 2 - 8, Weight: 13.0
Edge 2 - 12, Weight: 6.0
Edge 2 - 13, Weight: 5.0
Edge 3 - 8, Weight: 4.0
Edge 4 - 1, Weight: 9.0
Edge 5 - 1, Weight: 10.0
Edge 5 - 2, Weight: 12.0
Edge 5 - 3, Weight: 13.0
Edge 5 - 6, Weight: 6.0
Edge 5 - 13, Weight: 5.0
Edge 5 - 14, Weight: 2.0
Edge 5 - 15, Weight: 10.0
Edge 6 - 1, Weight: 1.0
Edge 6 - 2, Weight: 13.0
Edge 6 - 10, Weight: 6.0
Edge 6 - 11, Weight: 4.0
Edge 6 - 12, Weight: 5.0
Edge 7 - 4, Weight: 8.0
Edge 7 - 12, Weight: 9.0
Edge 7 - 14, Weight: 14.0
Edge 7 - 15, Weight: 9.0
Edge 8 - 5, Weight: 4.0
Edge 9 - 3, Weight: 10.0
Edge 9 - 4, Weight: 13.0
Edge 9 - 8, Weight: 14.0
Edge 9 - 10, Weight: 10.0
Edge 9 - 11, Weight: 9.0
Edge 9 - 12, Weight: 7.0
Edge 10 - 3, Weight: 3.0
Edge 10 - 7, Weight: 6.0
Edge 10 - 9, Weight: 11.0
Edge 11 - 4, Weight: 8.0
Edge 11 - 6, Weight: 5.0
Edge 11 - 7, Weight: 1.0
Edge 11 - 9, Weight: 3.0
Edge 11 - 10, Weight: 2.0
Edge 12 - 1, Weight: 11.0
Edge 12 - 4, Weight: 13.0
Edge 12 - 5, Weight: 9.0
Edge 12 - 13, Weight: 4.0
Edge 12 - 15, Weight: 10.0
Edge 13 - 2, Weight: 9.0
Edge 13 - 5, Weight: 10.0
Edge 13 - 11, Weight: 9.0
Edge 14 - 9, Weight: 10.0
Edge 14 - 10, Weight: 12.0
Edge 14 - 11, Weight: 13.0
Edge 14 - 12, Weight: 12.0
Edge 14 - 15, Weight: 7.0
Edge 15 - 12, Weight: 4.0
